datetime,open,high,low,close,volume
2024-01-01 00:00:00,42000.0,42500.0,41800.0,42300.0,1250.5
2024-01-01 00:15:00,42300.0,42800.0,42100.0,42650.0,980.3
2024-01-01 00:30:00,42650.0,43100.0,42500.0,43000.0,1450.7
2024-01-01 00:45:00,43000.0,43200.0,42700.0,42900.0,870.2
2024-01-01 01:00:00,42900.0,43100.0,42600.0,42750.0,760.8
2024-01-01 01:15:00,42750.0,42900.0,42400.0,42500.0,920.1
2024-01-01 01:30:00,42500.0,42700.0,42200.0,42300.0,1100.4
2024-01-01 01:45:00,42300.0,42600.0,42000.0,42450.0,840.6
2024-01-01 02:00:00,42450.0,42900.0,42300.0,42800.0,1350.9
2024-01-01 02:15:00,42800.0,43200.0,42700.0,43150.0,1620.3
2024-01-01 02:30:00,43150.0,43500.0,43000.0,43400.0,1890.7
2024-01-01 02:45:00,43400.0,43700.0,43200.0,43600.0,2100.5
2024-01-01 03:00:00,43600.0,44000.0,43500.0,43900.0,1780.2
2024-01-01 03:15:00,43900.0,44200.0,43700.0,44100.0,1560.8
2024-01-01 03:30:00,44100.0,44400.0,43900.0,44250.0,1340.6
2024-01-01 03:45:00,44250.0,44500.0,44000.0,44200.0,1120.4
2024-01-01 04:00:00,44200.0,44300.0,43800.0,43950.0,980.7
2024-01-01 04:15:00,43950.0,44100.0,43600.0,43700.0,870.3
2024-01-01 04:30:00,43700.0,43900.0,43400.0,43500.0,760.9
2024-01-01 04:45:00,43500.0,43700.0,43200.0,43300.0,690.5
2024-01-01 05:00:00,43300.0,43500.0,43000.0,43150.0,720.8
2024-01-01 05:15:00,43150.0,43400.0,42900.0,43250.0,810.2
2024-01-01 05:30:00,43250.0,43600.0,43100.0,43500.0,950.6
2024-01-01 05:45:00,43500.0,43900.0,43300.0,43800.0,1150.4
2024-01-01 06:00:00,43800.0,44200.0,43600.0,44100.0,1380.7
2024-01-01 06:15:00,44100.0,44500.0,43900.0,44400.0,1620.3
2024-01-01 06:30:00,44400.0,44800.0,44200.0,44700.0,1890.5
2024-01-01 06:45:00,44700.0,45100.0,44500.0,44950.0,2100.8
2024-01-01 07:00:00,44950.0,45400.0,44800.0,45200.0,2350.2
2024-01-01 07:15:00,45200.0,45600.0,45000.0,45450.0,2560.7
2024-01-01 07:30:00,45450.0,45800.0,45200.0,45650.0,2200.4
2024-01-01 07:45:00,45650.0,45900.0,45300.0,45500.0,1980.6
2024-01-01 08:00:00,45500.0,45700.0,45100.0,45250.0,1750.3
2024-01-01 08:15:00,45250.0,45500.0,44900.0,45000.0,1520.8
2024-01-01 08:30:00,45000.0,45200.0,44700.0,44800.0,1340.5
2024-01-01 08:45:00,44800.0,45000.0,44500.0,44650.0,1180.2
2024-01-01 09:00:00,44650.0,44900.0,44300.0,44500.0,1050.7
2024-01-01 09:15:00,44500.0,44800.0,44200.0,44650.0,980.4
2024-01-01 09:30:00,44650.0,45000.0,44400.0,44900.0,1120.6
2024-01-01 09:45:00,44900.0,45300.0,44700.0,45200.0,1380.9
2024-01-01 10:00:00,45200.0,45600.0,45000.0,45500.0,1650.3
2024-01-01 10:15:00,45500.0,45900.0,45300.0,45750.0,1890.7
2024-01-01 10:30:00,45750.0,46200.0,45600.0,46050.0,2200.5
2024-01-01 10:45:00,46050.0,46500.0,45900.0,46300.0,2450.8
2024-01-01 11:00:00,46300.0,46700.0,46100.0,46550.0,2680.2
2024-01-01 11:15:00,46550.0,47000.0,46400.0,46850.0,2900.6
2024-01-01 11:30:00,46850.0,47300.0,46700.0,47100.0,3120.4
2024-01-01 11:45:00,47100.0,47500.0,46900.0,47300.0,2850.7
2024-01-01 12:00:00,47300.0,47600.0,47000.0,47200.0,2560.3
2024-01-01 12:15:00,47200.0,47500.0,46800.0,47000.0,2300.8
2024-01-01 12:30:00,47000.0,47200.0,46600.0,46750.0,2100.5
2024-01-01 12:45:00,46750.0,47000.0,46400.0,46550.0,1890.2
2024-01-01 13:00:00,46550.0,46800.0,46200.0,46350.0,1680.7
2024-01-01 13:15:00,46350.0,46600.0,46000.0,46200.0,1520.4
2024-01-01 13:30:00,46200.0,46500.0,45900.0,46100.0,1380.6
2024-01-01 13:45:00,46100.0,46400.0,45800.0,46000.0,1250.3
2024-01-01 14:00:00,46000.0,46300.0,45700.0,45900.0,1150.8
2024-01-01 14:15:00,45900.0,46200.0,45600.0,46050.0,1280.5
2024-01-01 14:30:00,46050.0,46400.0,45800.0,46300.0,1450.2
2024-01-01 14:45:00,46300.0,46700.0,46100.0,46550.0,1680.7
2024-01-01 15:00:00,46550.0,46900.0,46300.0,46800.0,1890.4
2024-01-01 15:15:00,46800.0,47200.0,46600.0,47050.0,2100.6
2024-01-01 15:30:00,47050.0,47500.0,46900.0,47300.0,2350.3
2024-01-01 15:45:00,47300.0,47700.0,47100.0,47550.0,2560.8
2024-01-01 16:00:00,47550.0,48000.0,47400.0,47850.0,2780.5
2024-01-01 16:15:00,47850.0,48300.0,47700.0,48100.0,2980.2
2024-01-01 16:30:00,48100.0,48500.0,47900.0,48300.0,3150.7
2024-01-01 16:45:00,48300.0,48700.0,48100.0,48500.0,2900.4
2024-01-01 17:00:00,48500.0,48800.0,48200.0,48400.0,2680.6
2024-01-01 17:15:00,48400.0,48600.0,48000.0,48200.0,2450.3
2024-01-01 17:30:00,48200.0,48400.0,47800.0,47950.0,2250.8
